"","part","term","statistic","full_historic10.sp","full_historic10.fa","nodepthwt_historic10.sp","nodepthwt_historic10.fa","glm_historic10.sp","glm_historic10.fa","glmwt_historic10.sp","glmwt_historic10.fa","glmY2_historic10.sp","glmY2_historic10.fa","glmwtY2_historic10.sp","glmwtY2_historic10.fa"
"1","estimates","(Intercept)","estimate","-81.949","-2.747","-28.424","-3.643","-62.352","-91.032","-56.420","-77.159","-18.669","-500.408","-15.682","-489.255"
"2","estimates","(Intercept)","std.error","(2275296.497)","(9.0100e-01)","(75174.972)","(0.927)","(210.662)","(14.593)","(220.989)","(15.097)","(137714.304)","(397.911)","(150737.723)","(420.483)"
"3","estimates","StateMA","estimate","14.237","-48.589","-4.938","-46.874","0.002","-12.181","-0.011","-12.631","0.103","482.842","1.243","509.577"
"4","estimates","StateMA","std.error","(3098263.551)","(2.1777e+06)","(2011254.652)","(2042724.638)","(286.910)","(120.182)","(300.465)","(126.759)","(185558.425)","(78539.132)","(200925.418)","(87388.528)"
"5","estimates","StateRICTNY","estimate","78.860","-0.015","24.682","1.080","15.486","3.664","15.505","2.763","-434.878","369.386","-428.995","424.070"
"6","estimates","StateRICTNY","std.error","(2275296.497)","(7.4800e-01)","(75174.972)","(0.720)","(210.218)","(0.506)","(220.556)","(0.509)","(137714.343)","(400.576)","(150737.758)","(423.025)"
"7","estimates","StateNJ","estimate","78.819","0.028","25.661","2.243","15.996","3.848","16.019","2.992","-271.828","599.093","-266.841","631.832"
"8","estimates","StateNJ","std.error","(2275296.497)","(8.0800e-01)","(75174.972)","(0.752)","(210.218)","(0.511)","(220.556)","(0.514)","(137714.339)","(403.169)","(150737.755)","(425.647)"
"9","estimates","StateDEMD","estimate","79.322","0.659","26.328","2.608","15.912","4.519","15.835","3.582","-141.307","483.384","-142.068","482.491"
"10","estimates","StateDEMD","std.error","(2275296.497)","(7.5200e-01)","(75174.972)","(0.710)","(210.218)","(0.510)","(220.556)","(0.514)","(137714.308)","(402.686)","(150737.726)","(425.348)"
"11","estimates","StateVA","estimate","79.714","-0.024","26.799","2.189","16.568","2.843","16.575","1.362","38.473","339.522","47.532","340.249"
"12","estimates","StateVA","std.error","(2275296.497)","(7.5200e-01)","(75174.972)","(0.709)","(210.218)","(0.511)","(220.556)","(0.520)","(137714.315)","(403.640)","(150737.733)","(426.283)"
"13","estimates","StateNC","estimate","81.293","-0.040","28.494","1.869","19.703","6.389","19.618","4.904","27.571","415.230","33.393","410.607"
"14","estimates","StateNC","std.error","(2275296.497)","(7.6200e-01)","(75174.972)","(0.717)","(210.218)","(0.502)","(220.556)","(0.510)","(137714.306)","(398.310)","(150737.724)","(420.897)"
"15","estimates","StateSCGAFL","estimate","80.863","0.704","27.883","2.601","17.613","3.072","17.453","1.383","29.128","352.298","29.791","315.793"
"16","estimates","StateSCGAFL","std.error","(2275296.497)","(8.0700e-01)","(75174.972)","(0.765)","(210.218)","(0.507)","(220.556)","(0.518)","(137714.308)","(401.488)","(150737.726)","(423.890)"
"17","estimates","Year","estimate","","","","","0.022","0.043","0.019","0.035","0.000","0.246","-0.001","0.240"
"18","estimates","Year","std.error","","","","","(0.007)","(0.007)","(0.007)","(0.007)","(68.442)","(0.198)","(74.915)","(0.209)"
"19","estimates","WaterTemp","estimate","","","","","","","0.012","0.099","","","0.012","0.100"
"20","estimates","WaterTemp","std.error","","","","","","","(0.006)","(0.006)","","","(0.006)","(0.006)"
"21","estimates","Year × StateMA","estimate","","","","","","","","","-0.000","-0.246","-0.001","-0.259"
"22","estimates","Year × StateMA","std.error","","","","","","","","","(92.222)","(39.037)","(99.856)","(43.430)"
"23","estimates","Year × StateRICTNY","estimate","","","","","","","","","0.224","-0.182","0.221","-0.209"
"24","estimates","Year × StateRICTNY","std.error","","","","","","","","","(68.442)","(0.199)","(74.915)","(0.210)"
"25","estimates","Year × StateNJ","estimate","","","","","","","","","0.143","-0.296","0.141","-0.312"
"26","estimates","Year × StateNJ","std.error","","","","","","","","","(68.442)","(0.200)","(74.915)","(0.211)"
"27","estimates","Year × StateDEMD","estimate","","","","","","","","","0.078","-0.238","0.078","-0.238"
"28","estimates","Year × StateDEMD","std.error","","","","","","","","","(68.442)","(0.200)","(74.915)","(0.211)"
"29","estimates","Year × StateVA","estimate","","","","","","","","","-0.011","-0.167","-0.015","-0.168"
"30","estimates","Year × StateVA","std.error","","","","","","","","","(68.442)","(0.200)","(74.915)","(0.212)"
"31","estimates","Year × StateNC","estimate","","","","","","","","","-0.004","-0.203","-0.007","-0.201"
"32","estimates","Year × StateNC","std.error","","","","","","","","","(68.442)","(0.198)","(74.915)","(0.209)"
"33","estimates","Year × StateSCGAFL","estimate","","","","","","","","","-0.006","-0.173","-0.006","-0.156"
"34","estimates","Year × StateSCGAFL","std.error","","","","","","","","","(68.442)","(0.199)","(74.915)","(0.210)"
"35","gof","Num.Obs.","","20900","14545","21358","15111","21358","15111","20929","14557","21358","15111","20929","14557"
"36","gof","R2","","0.550","0.621","0.550","0.622","","","","","","","",""
"37","gof","AIC","","15625.9","8840.2","16212.0","9125.2","19558.5","12625.9","19646.1","12087.0","19952.9","12625.8","20051.8","12083.3"
"38","gof","BIC","","16074.6","9160.2","16710.8","9433.3","19630.2","12694.5","19725.6","12162.9","20080.4","12747.8","20186.9","12212.3"
"39","gof","Log.Lik.","","","","","","-9770.256","-6303.954","-9813.055","-6033.497","-9960.440","-6296.891","-10008.892","-6024.663"
"40","gof","RMSE","","0.30","0.30","0.30","0.30","0.32","0.37","0.32","0.36","0.32","0.37","0.32","0.36"
