"part","term","statistic","full_historic45.sp","full_historic45.fa","nodepthwt_historic45.sp","nodepthwt_historic45.fa","glm_historic45.sp","glm_historic45.fa","glmwt_historic45.sp","glmwt_historic45.fa","glmdp_historic45.sp","glmdp_historic45.fa","glmwtdp_historic45.sp","glmwtdp_historic45.fa"
"estimates","(Intercept)","estimate","-1270.928","0.269","-1026.609","-3.395","-142.745","-155.190","-139.955","-151.681","-80.451","-98.784","-84.116","-98.977"
"estimates","(Intercept)","std.error","(1322454.796)","(0.597)","(1227183.415)","(0.655)","(3.839)","(3.458)","(4.017)","(3.744)","(4.364)","(4.462)","(4.473)","(4.649)"
"estimates","StateMA","estimate","1216.922","-6.808","957.863","-5.693","-10.230","-2.331","-10.373","-2.436","-10.291","-2.876","-10.340","-2.628"
"estimates","StateMA","std.error","(1793459.653)","(3.892)","(1677126.168)","(3.411)","(94.050)","(0.748)","(99.304)","(0.753)","(78.761)","(0.763)","(81.932)","(0.772)"
"estimates","StateRICTNY","estimate","1268.318","-0.954","1022.786","0.936","4.284","3.481","4.161","2.761","1.782","-0.324","1.732","-0.164"
"estimates","StateRICTNY","std.error","(1322454.796)","(0.331)","(1227183.415)","(0.297)","(1.006)","(0.247)","(1.007)","(0.275)","(1.010)","(0.278)","(1.010)","(0.308)"
"estimates","StateNJ","estimate","1268.375","-0.723","1023.461","1.889","4.728","3.347","4.641","2.829","1.626","-1.199","1.548","-1.062"
"estimates","StateNJ","std.error","(1322454.796)","(0.351)","(1227183.415)","(0.307)","(1.007)","(0.252)","(1.007)","(0.278)","(1.010)","(0.283)","(1.010)","(0.312)"
"estimates","StateDEMD","estimate","1269.373","0.114","1024.418","2.549","4.893","3.995","4.778","3.397","0.741","-0.689","0.805","-0.504"
"estimates","StateDEMD","std.error","(1322454.796)","(0.326)","(1227183.415)","(0.282)","(1.001)","(0.252)","(1.001)","(0.279)","(1.006)","(0.284)","(1.006)","(0.315)"
"estimates","StateVA","estimate","1269.832","-0.723","1025.323","2.112","5.703","2.134","5.591","1.091","2.254","-3.261","2.146","-3.120"
"estimates","StateVA","std.error","(1322454.796)","(0.329)","(1227183.415)","(0.282)","(1.002)","(0.256)","(1.002)","(0.288)","(1.006)","(0.290)","(1.006)","(0.323)"
"estimates","StateNC","estimate","1270.988","-0.823","1026.428","1.742","8.513","5.383","8.430","4.347","4.421","-1.331","4.577","-1.198"
"estimates","StateNC","std.error","(1322454.796)","(0.344)","(1227183.415)","(0.291)","(1.000)","(0.244)","(1.001)","(0.276)","(1.005)","(0.287)","(1.006)","(0.320)"
"estimates","StateSCGAFL","estimate","1271.068","-0.245","1026.318","2.245","6.610","2.696","6.485","1.492","2.501","-3.641","2.779","-3.467"
"estimates","StateSCGAFL","std.error","(1322454.796)","(0.381)","(1227183.415)","(0.331)","(1.001)","(0.249)","(1.003)","(0.282)","(1.005)","(0.286)","(1.007)","(0.320)"
"estimates","Depth","estimate","-0.046","-0.091","","","","","","","-0.086","-0.187","-0.090","-0.194"
"estimates","Depth","std.error","(0.004)","(0.004)","","","","","","","(0.003)","(0.004)","(0.003)","(0.005)"
"estimates","Year","estimate","","","","","0.067","0.075","0.066","0.073","0.039","0.051","0.041","0.051"
"estimates","Year","std.error","","","","","(0.002)","(0.002)","(0.002)","(0.002)","(0.002)","(0.002)","(0.002)","(0.002)"
"estimates","WaterTemp","estimate","","","","","","","0.000","0.082","","","-0.035","-0.014"
"estimates","WaterTemp","std.error","","","","","","","(0.005)","(0.005)","","","(0.005)","(0.006)"
"gof","Num.Obs.","","48852","33637","51563","36692","51563","36692","49093","33735","51079","36098","48852","33637"
"gof","R2","","0.548","0.622","0.542","0.605","","","","","","","",""
"gof","AIC","","22020.2","16263.0","22904.9","18076.0","26032.7","24931.9","25429.6","23110.6","24152.7","19557.2","23765.6","18934.0"
"gof","BIC","","22599.9","16606.7","23407.8","18492.8","26112.3","25008.5","25517.6","23194.9","24241.1","19642.2","23862.4","19026.6"
"gof","Log.Lik.","","","","","","-13007.328","-12456.971","-12704.796","-11545.308","-12066.349","-9768.609","-11871.805","-9455.991"
"gof","RMSE","","0.25","0.27","0.25","0.27","0.27","0.32","0.28","0.33","0.26","0.29","0.26","0.29"
